name,address,area,lat,lng
Bridge Surgery,"The Square, Sixmilebridge, Clare, V95 W8YW",Clare,52.7416491,-8.7725329
Buglers Medical Practice,"Ard Na Greine, Ennis, Clare, V95 YN9V",Clare,52.8397492,-8.9797275
Burren Medical Centre,"Market Street, Corofin, Clare, V95 FAW9",Clare,52.94623,-9.067012799999999
Carr Medical Centre,"26 Frances Street, Kilrush, Clare, V15 RD82",Clare,52.6371146,-9.4876051
Carrigaholt Health Centre,"Rinemackaderrig, Carrigaholt, Clare, V15 DA21",Clare,52.60120620000001,-9.708794
Collins Medical Centre,"Saint Brendan's Road, Lisdoonvarna, Clare, V95 HH6W",Clare,53.0298091,-9.2867494
Doctor365 Ennis,"H.r. Medical Centre, 3 Bank Place, Ennis, Clare, V95 C2YP",Clare,52.8452091,-8.984646300000001
Dr Maura O'Meara,"Ennis Road, Miltown Malbay, Clare, V95 WN26",Clare,52.85356,-9.39821
Dr Paul Kiernan,"7 Westbury Shopping Centre, Westbury, Corbally, Clare, V94 E7N1",Clare,52.6857889,-8.6061847
Dr Peter Flynn,"9 Killian Park, Shannon, Clare, V14 Y526",Clare,52.709681,-8.8669574
Ennis Medical Centre,"Francis Street, Ennis, Clare, V95 KC3H",Clare,52.845712,-8.9774636
Ennistymon Medical Centre,"Main Street, Ennistymon, Clare, V95 T9NE",Clare,52.94075309999999,-9.2932389
Fergus Medical Centre,"2 Saint Anthony's Terrace, Harmony Row, Ennis, Clare, V95 WYX3",Clare,52.84658659999999,-8.9872836
Flynn Medical Centre Shannon,"22 Tullyvarraga Hill, Tullyvarraga, Shannon, Clare, V14 W522",Clare,52.70630980000001,-8.873556899999999
Kilkee Medical Centre,"Chapel Street, Kilkee, Clare, V15 DP82",Clare,52.67896,-9.64653
Killaloe Family Practice,"2 Rygan House, Shantraud, Killaloe, Clare, V94 T0H2",Clare,52.8042451,-8.448089099999999
Kilrush General Practice,"Merchants Quay Business Quarter, Frances Street, Kilrush, Clare, V15 XW83",Clare,52.6364336,-9.4900709
Kilrush Medical Centre,"Toler Street, Kilrush, Clare, V15 K446",Clare,52.6383521,-9.4875712
Lahinch Medical Centre,"4 Bay Links View, Station Road, Lahinch, Clare, V95 A56D",Clare,52.9316799,-9.343705199999999
Medical Centre,"The Square, Kildysart, Clare, V95 R23F",Clare,52.67397030000001,-9.1083119
Miltown Medical Centre,"Spanish Point Road, Miltown Malbay, Clare, V95 X72N",Clare,52.849188,-9.4136866
Ozondu Medical Centre,"Ballycasey Business Park, Ballycasey Park, Shannon, Clare, V14 WR50",Clare,52.71266319999999,-8.8677516
Richmond Medical Centre,"Ennis Road, Kilmihil, Clare, V15 KF50",Clare,52.7196047,-9.3068213
Riverwalk Medical Centre,"21 Parnell Street, Ennis, Clare, V95 RK3C",Clare,52.8440451,-8.984556999999999
Roslevan Medical Practice,"Tulla Road, Roslevan, Ennis, Clare, V95 YE27",Clare,52.8563534,-8.9534352
Saffron & Blue Clarecastle,"Clare Abbey Primary Health Centre, Clarecastle, Ennis, Clare, V95 HK50",Clare,52.8224366,-8.975098
Scariff Medical Centre,"Market Square, Ballyminoge, Scarriff, Clare, V94 KPN1",Clare,52.9109144,-8.5314285
Shannon Medical Centre,"Unit 1, Caisleain Daire, Shannon, Clare, V14 D377",Clare,52.7085434,-8.8814493
Sonas Medical Centre,"Station Road, Ennis, Clare, V95 TY4E",Clare,52.8410208,-8.9804462
The Abbey Medical Centre,"Westgate Business Park, Kilrush Road, Ennis, Clare, V95 D60V",Clare,52.8311234,-8.9970954
The East Clinic,"Thomas Street, Killaloe, Clare, V94 RY63",Clare,52.8064827,-8.4447492
The Elm Medical Centre,"Gort Road Shopping Centre, Gort Road, Ennis, Clare, V95 F2NK",Clare,52.8589507,-8.9823646
The Green Medical Centre,"Green, Newmarket-on-fergus, Clare, V95 WP04",Clare,52.7609957,-8.894185199999999
The Medical Centre,"Ennistymon Road, Lahinch, Clare, V95 X0WX",Clare,52.9348625,-9.3355864
Tulla Health Clinic,"Main Street, Tulla, Clare, V95 K6HD",Clare,52.8656047,-8.7550841
Waterside Medical Centre,"The Square, Sixmilebridge, Clare, V95 HRY1",Clare,52.7420994,-8.7725593
4th Practice Enhanced Medical Services,"Mallow Primary Healthcare Centre, Goulds Hill, Mallow, Cork, P51 Y8EC",Cork,52.13897619999999,-8.6539164
Airport Dental And Medical Cork,"Rathmacullig West, Farmers Cross, Ballygarvan, Cork, T12 H5FY",Cork,51.8478113,-8.4716097
Ath Transna Medical Centre,"West End, Newmarket, Cork, P51 W2PY",Cork,52.21301339999999,-9.001477900000001
Avonlea Medical Centre,"Boreenmanna Road, Cork City, Cork, T12 F2DR",Cork,51.8912877,-8.4477099
Avonlea Medical Centre,"Boreenmanna Road, Cork, Cork, T12 F2DR",Cork,51.8912877,-8.4477099
Ballycotton Medical Centre,"Monagurra, Shanagarry, Cork, P25 PF96",Cork,51.8402615,-8.0339297
Ballymodan Family Practice,"3 Ballymodan Place, Bandon, Cork, P72 RX61",Cork,51.7440633,-8.7401179
Ballyvourney Health Centre,"Ballymakeera, Cork, Cork, P12 A504",Cork,51.9416703,-9.1603201
Bandon Medical Clinic,"11/12 Oliver Plunkett Street, Bandon, Cork, P72 N272",Cork,51.74531750000001,-8.7337264
Bank Place Clinic,"Bank Place, Castletownbere, Cork, P75 V275",Cork,51.65055109999999,-9.9129889
Bank Place Clinic,"Bere Island Health Centre, Ballynakilla, Bere Island, Cork, P75 FW92",Cork,51.6403921,-9.8594526
Bantry Bay Medical Centre,"The Quay, Bantry, Cork, P75 Y368",Cork,51.6801431,-9.4587061
Barryscourt Medical Centre,"Midleton Road, Carrigtwohill, Cork, T45 EY17",Cork,51.9096373,-8.252424999999999
Belvedere Surgery,"Douglas Road, Ballinlough, Cork, T12 D57T",Cork,51.8845421,-8.449718
Blackpool Bridge Surgery,"83 Thomas Davis Street, Blackpool, Cork, T23 K7Y4",Cork,51.9132984,-8.4720204
Blackpool Medical Centre,"90 Great William O'Brien Street, Blackpool, Cork, T23 TR7A",Cork,51.910993,-8.4743207
Blackrock Medical Centre Cork,"74 Skehard Road, Blackrock, Cork, T12 X2DT",Cork,51.8881761,-8.4218307
Blackwater Medical,"12a Millenium Park, Foxhole, Youghal, Cork, P36 KR97",Cork,51.9542704,-7.8471707
Blarney Medical Centre,"Monacnappa, Blarney, Cork, T23 EAY1",Cork,51.9340261,-8.569967499999999
Bridge Medical Practice,"Carrigaline Primary Care Centre, Kilnagleary, Carrigaline, Cork, P43 X095",Cork,51.8090633,-8.373176599999999
Broad Lane Family Practice,"72 Great William O'brien Street, Blackpool, Cork, T23 EDX9",Cork,51.9097684,-8.4750993
BrookLane Medical Centre,"Millbrook, New Road, Bandon, Cork, P72 YH72",Cork,51.7405206,-8.742501599999999
"Cahill, O'Donnell Practice","Blackrock Hall Primary Care Centre, Blackrock Avenue, Blackrock, Cork, T12 X3FV",Cork,51.8915229,-8.4110554
Cantillon/Gaughran Surgery,"Main Street, Carrigaline, Cork, P43 EV77",Cork,51.8129635,-8.3924452
Carraig Mervue Family Practice,"College Road, Carrignavar, Cork, T34 RX79",Cork,51.9883604,-8.4678571
Carrig Medical Centre,"Station Road, Carrigaline, Cork, P43 YN96",Cork,51.8175212,-8.3890857
Carrigaline Medical Practice,"Carrig House, Old Waterpark, Carrigaline, Cork, P43 EA48",Cork,51.8148893,-8.390318299999999
Carrigdean Medical Centre,"Togher Road, Togher, Cork, T12 AC8V",Cork,51.8770291,-8.4938744
Carrigtwohill Clinic,"Carrigtwohill Shopping & Business Centre, Carrigtwohill, Cork, T45 W673",Cork,51.9091592,-8.2566174
Chapel Lane Surgery,"3 Chapel Lane, Mallow, Cork, P51 NA03",Cork,52.1381532,-8.646004699999999
Charleville Family Practice,"Rathgoggin, Charleville, Cork, P56 T863",Cork,52.360293,-8.689932599999999
Charleville Primary Care Centre,"Rathgoggin South, Charleville, Cork, P56 TP20",Cork,52.3483689,-8.674816
City Medical Centre,"5 Lower Friars Walk, Ballyphehane, Cork, T12 P588",Cork,51.88168959999999,-8.4783262
City South GP,"Suite 1a Ardfallen Medical Centre, Douglas Road, Ballinlough, Cork, T12 D57T",Cork,51.8838504,-8.4474161
Cityplus GP Services,"Millbrook Medical Centre, New Road, Bandon, Cork, P72 D343",Cork,51.7405206,-8.742501599999999
Clady Medical Centre,"1 Firview, Curraheen Road, Bishopstown, Cork, T12 Y86V",Cork,51.8792653,-8.519563999999999
Classes Lake Medical Centre,"Classes Lake Retail Park, Classes Lake, Ovens, Cork, P31 NY51",Cork,51.8853056,-8.6280942
Clonakilty Family Health Clinic,"Clonakilty Shopping Centre, Faxbridge, Clonakilty, Cork, P85 W024",Cork,51.6239067,-8.8816176
Clonakilty Medical Clinic,"Larkin Street, Clonakilty, Cork, P85 F958",Cork,51.6209327,-8.8900815
Cloyne Medical Centre,"The Square, Cloyne, Cork, P25 TW96",Cork,51.8632347,-8.1210921
Coach Horse Lane Surgery,"Coach Horse Lane, The Square, Midleton, Cork, P25 DH57",Cork,51.9131812,-8.1735708
Coachford Family Practice,"The Old Surgery, Clontaebeg, Coachford, Cork, P12 FN50",Cork,51.909471,-8.788960099999999
Cobh Primary Care Centre,"Ticknock, Cobh, Cork, P24 V621",Cork,51.8530415,-8.295090499999999
Cork City Medical Centre,"First Floor, 91 Saint Patrick's Street, Cork City, Cork, T12 K5FK",Cork,51.8985239,-8.4729451
Cork Road Medical Clinic,"1 Cork Road, Carrigaline, Cork, P43 YW98",Cork,51.8168268,-8.3909597
Crosshaven Surgery,"Point Road, Crosshaven, Cork, P43 DT66",Cork,51.8062712,-8.2910237
Crotty/Wiseman Medical Centre,"Main Street, Ballincollig, Cork, P31 F384",Cork,51.888034,-8.5879216
Curraheen Clinic,"Curraheen Road, Bishopstown, Cork, T12 XY7D",Cork,51.8749152,-8.5468264
Dillon's Cross Medical Centre,"Old Youghal Road, Cork City, Cork, T23 YXV4",Cork,51.9116329,-8.4412268
Douglas Medical Centre,"East Douglas Street, Douglas, Cork, T12 A3PC",Cork,51.8765971,-8.4347656
Dr Ailin Becker,"Main Street, Ballydehob, Cork, P81 X853",Cork,51.5631376,-9.4592246
Dr Bastiaan Van Eynatten,"5 Adelaide Terrace, Wellington Road, Cork City, Cork, T23 VY84",Cork,51.9033048,-8.4613766
Dr Brendan O'Regan,"4 Pearse Square, Ballyphehane, Cork, T12 W56R",Cork,51.8833616,-8.4825172
Dr Buckeridge,"325 Blarney Street, Ballinlough, Cork, T23 K59H",Cork,51.9014946,-8.486711399999999
Dr Deborah Buckley,"Market Green Shopping Centre, Midleton, Cork, P25 DY83",Cork,51.9161988,-8.1792442
Dr Donncha Ó'Cuill,"6 The Orchards, Glasheen Road, Cork City, Cork, T12 K7CP",Cork,51.8879952,-8.4950117
Dr Edward O'Sullivan,"La Verna, ishopstown Road, Cork City, Cork, T12 E9PE",Cork,51.8793442,-8.5169514
Dr Eugene Morgan,"Ballinvarrig, Whitechurch, Cork, T34 DY79",Cork,51.9703751,-8.5032033
Dr Glisson Surgery,"North Road, Castletownbere, Cork, P75 W665",Cork,51.653685,-9.9073779
Dr Greg Murphy,"Chapel Square, Passage West, Cork, T12 Y862",Cork,51.8713502,-8.3358129
Dr J O'Connell,"Sackville Street, Dunmanway, Cork, P47 WN77",Cork,51.7221736,-9.1089421
Dr John Dromey Surgery,"Ballyleigh, Waterfall, Cork, T12 VC43",Cork,51.8323417,-8.5749208
Dr John J Burke,"Castle Street, Macroom, Cork, P12 HF44",Cork,51.9054264,-8.9616187
Dr Leader Surgery,"Threadle Hill, Gneeves, Boherbue, Cork, P51 NCD6",Cork,52.1558473,-9.0727005
Dr Margaret Fitzsimons,"104 Gerald Griffin Street, Blackpool, Cork, T23 AE0H",Cork,51.9078113,-8.4757433
Dr Margaret Fitzsimons,"Edencurragh 1 Perrott Avenue, College Road, Cork City, Cork, T12 YF9N",Cork,51.89205450000001,-8.489171899999999
Dr Mark Buckley,"Main Street, Castlemartyr, Cork, P25 KT53",Cork,51.9126295,-8.0594514
Dr O'Brien,"3 Kerry Road, Mayfield, Cork, T23 H9AC",Cork,51.9128425,-8.4328342
Dr O'Regan Surgery,"1 Bromley Park, Donnybrook, Cork, T12 N524",Cork,51.8673435,-8.4403092
Dr Pat Kennedy and Ger McLaughlin,"Primary Care Centre, Castle Square, Carrigtwohill, Cork, T45 FX06",Cork,51.9094919,-8.2589402
Dr Paul Deasy Surgery,"South Gate House, Cove Street, Cork City, Cork, T12 HN2F",Cork,51.89513299999999,-8.475951799999999
Dr Rafique Youghal Clinic,"Unit A12 Millennium Park, Foxhole, Youghal, Cork, P36 KR97",Cork,51.9542704,-7.8471707
Dr Thomas Moloney,"39 Wolfe Tone Street, Clonakilty, Cork, P85 X510",Cork,51.6232383,-8.8846436
Drimoleague Surgery,"East End, Drimoleague, Cork, P47 HP90",Cork,51.6616929,-9.2587681
Dundanion Medical Centre,"Rockfield Avenue, Church Road, Blackrock, Cork, T12 K77V",Cork,51.8940482,-8.4182434
Dunmanway Primary Care Centre,"Sackville Street, Dunmanway, Cork, P47 PK51",Cork,51.7221815,-9.1087451
East Cork Medical Centre,"6 New Cork Road, Midleton, Cork, P25 WV52",Cork,51.9165727,-8.1770047
Eastgate Medical,"Ballincollig Health Centre, Innishmore, Ballincollig, Cork, P31 D832",Cork,51.8866097,-8.6096109
Egmont Family Practice,"Newmarket Road, Kanturk, Cork, P51 EW6T",Cork,52.1862267,-8.9165971
Elm wood Medical Practice,"Grange Road, Frankfield, Cork, T12 N9YR",Cork,51.8672452,-8.453517
Emmet Place Family Practice,"1 Emmet Place, Youghal, Cork, P36 VF96",Cork,51.9553278,-7.8518132
Emmet Square Surgery,"12 Emmet Square, Clonakilty, Cork, P85 D212",Cork,51.6217603,-8.892083
Esculap Medical Centre,"Primary Care Centre, Main Street, Ballincollig, Cork, P31 XN96",Cork,51.888034,-8.5879216
Family First Medical Practice,"Fermoy Clinic, McCurtain Street, Fermoy, Cork, P61 KH74",Cork,52.1377563,-8.2782008
Family Practice,"2 New Catherine Street, Youghal, Cork, P36 HY86",Cork,51.9555701,-7.848236200000001
Fermoy Medical Practice,"61-63 Mccurtain Street, Fermoy, Cork, P61 KH74",Cork,52.1375757,-8.278342199999999
Fingerpost Surgery,"The Fingerpost, Douglas, Cork, T12 EYC9",Cork,51.8757958,-8.432646199999999
Friars Walk Medical,"24 Friars Walk, Cork City, Cork, T12 HTN3",Cork,51.88902789999999,-8.475484
Glanmire Medical Centre,"Crestfield Centre, Riverstown, Glanmire, Cork, T45 CX99",Cork,51.9302866,-8.3949162
Glengarriff Medical Centre,"The Village, Glengarriff, Cork, P75 FK61",Cork,51.7499809,-9.5503781
GP Now - Union Quay Medical centre,"Union Quay, Ballintemple, Cork, T12 K2EC",Cork,51.8962404,-8.4682826
Grand Parade Medical Centre,"11-13 Grand Parade, Cork City, Cork, T12 V528",Cork,51.898248,-8.4752901
Grattan Street Health Centre,"Grattan Street, Cork City, Cork, T12 AP83",Cork,51.8991367,-8.4799872
Great Island General Practice,"The Lodge, College Manor, Cobh, Cork, P24 YF90",Cork,51.8562238,-8.293222
Greenmount Surgery,"Lough Community Centre, Green Street, Greenmount, Cork, T12 VF5C",Cork,51.8904752,-8.4811379
Greenwood Surgery,"Greenwood Estate, Togher, Cork, T12 E40D",Cork,51.8740018,-8.4942652
Gurranabraher Medical Centre,"Saint Mary's Primary Care Centre, Baker's Road, Gurranebraher, Cork, T23 V09X",Cork,51.9034101,-8.4904443
Harbour Medical Centre,"4 Church Hill, Passage West, Cork, T12 DEC5",Cork,51.8709216,-8.3359566
Harbours Brink Medical Centre,"Lower Aghada, Ballynafarsid, Cork, P25 YE20",Cork,51.843425,-8.2089501
Haven Medical Centre,"Derrymihan West, Castletownbere, Cork, P75W884",Cork,51.6517045,-9.9019336
Hazelwood Medical Centre,"Baltydaniel East, Mallow, Cork, P51 FF82",Cork,52.1866848,-8.666861899999999
Herons Wood Medical Centre,"Herons Wood, Carrigaline, Cork, P43 VF30",Cork,51.8247879,-8.388490599999999
Hollyhill Medical Centre,"Saint Mary's Health Campus, Baker's Road, Gurranebraher, Cork, T23 V09X",Cork,51.9036326,-8.4955956
HR Clinic,"25 Earlwood Estate, The Lough, Togher, Cork, T12 Y9AK",Cork,51.8842242,-8.4876834
Imokilly Medical Centre,"Distillery Lane, Main Street, Midleton, Cork, P25 V180",Cork,51.9133571,-8.1713487
Innishannon Medical Centre,"Main Street, Innishannon, Cork, T12 FX0N",Cork,51.7646844,-8.656305999999999
Ivyville Medical Centre,"2 Ivy Ville, Douglas Road, Cork City, Cork, T12 FK5X",Cork,51.8899362,-8.4610707
John Bourke,"Scarteen Road, Newmarket, Cork, P51 PC85",Cork,52.2202575,-9.0068096
Killeagh Medical,"The Old Barracks, Church View, Killeagh, Cork, P36 C780",Cork,51.9432477,-7.991772799999999
Killeen Medical Centre,"121 Lower Friars Walk, Ballyphehane, Cork, T12 DNT2",Cork,51.8809367,-8.479019
Kilmoney Clinic,"Kilmoney Road Lower, Carrigaline, Cork, P43 VY30",Cork,51.8114219,-8.3993484
Kinsale Medical Centre,"New Road, Kinsale, Cork, P17 RY11",Cork,51.7096568,-8.5197965
Knight's Hill Medical Centre,"Old Youghal Road, Mayfield, Cork, T23 NDC2",Cork,51.9113729,-8.4422311
Langford Hall Medical Centre,"12 Langford Row, off Infirmary Road, Ballintemple, Cork, T12 VF9F",Cork,51.8926665,-8.467476999999999
LeeMed Clinic,"99 Shandon Street, Cork City, Cork, T23 KDH2",Cork,51.90341369999999,-8.478305200000001
Link Road Medical Centre,"Link Road, Ballincollig, Cork, P31 DF84",Cork,51.8870324,-8.5790981
Living Health Clinic,"Fermoy Road, Mitchelstown, Cork, P67 T263",Cork,52.2588265,-8.2755
Main Street Medical Centre,"Midleton House, Main Street, Midleton, Cork, P25 YC60",Cork,51.91211209999999,-8.1712962
Marino Medical Centre,"Banry Primary Care Centre, Dromleigh South, Bantry, Cork, P75 VP89",Cork,51.6754644,-9.449798
Market Place Surgery,"Market Place, Kinsale, Cork, P17 HR25",Cork,51.7062997,-8.5245131
Market Square Family Practice,"The Square, Buttery Court, Market Square, Mallow, Cork, P51 VA8D",Cork,52.1376375,-8.641604
Mayfield Family Practice,"Mayfield Shopping Centre, Silversprings Road, Mayfield, Cork, T23 RY7N",Cork,51.9140886,-8.4286941
MD Clinic,"4 The Plaza City Square, Watercourse Road, Blackpool, Cork, T23 NDW4",Cork,51.9085812,-8.4739446
MD Clinic Cork,"The Plaza City Square, Watercourse Road, Blackpool, Cork, T23 N20R",Cork,51.9085669,-8.4739558
Meadow Park Surgery,"1 Meadow Park Drive, Ballyvolane, Cork, T23 DHC2",Cork,51.9180753,-8.4490918
Medical Centre,"54 Lower Friars Walk, Ballyphehane, Cork, T12 YH70",Cork,51.88367,-8.4771089
MediGroup - Dr Coffey and Dr Fitzgibbon,"Cathedral Road, Gurranebraher, Cork, T23 EC2N",Cork,51.9043924,-8.4867672
MediGroup - Dr McNeice and Dr Monahan,"Cathedral Road, Gurranebraher, Cork, T23 EC2N",Cork,51.9043924,-8.4867672
Medina Medical Group,"Mill Road, Fermoy, Cork, P61 NN79",Cork,52.1390888,-8.2717146
Midleton Medi Centre,"69 Saint Mary's Road, Midleton, Cork, P25 VK63",Cork,51.9107061,-8.1697115
Midleton Medical Centre,"Suncourt Estate, Midleton, Cork, P25 EP93",Cork,51.9176858,-8.1716319
Military Hill Surgery,"Military Road, Saint Lukes, Cork City, Cork, T23 X9DY",Cork,51.9060308,-8.4618793
Millbrook Medical Centre,"New Road, Bandon, Cork, P72 D343",Cork,51.7282856,-8.7322647
Millstreet Medical Centre,"Killarney Road, Millstreet, Cork, P51 W9XE",Cork,52.0601766,-9.0709889
Mizen Medical Practice,"The Parade, Ballydehob, Cork, P81 KF97",Cork,51.5622529,-9.4623329
Mizen Medical Practice,"Goleen Health Centre, Calnan Park, Goleen, Cork, P81 TN93",Cork,51.494727,-9.7127386
Mizen Primary Care Centre,"Ardmanagh Road, Schull, Cork, P81 NH42",Cork,51.5289477,-9.5506528
mycorkgp.ie,"Douglas Road, Douglas, Cork, T12 XE00",Cork,51.879685,-8.4396765
New Road Surgery,"New Road, Castletownroche, Cork, P51 H79N",Cork,52.17376609999999,-8.463377999999999
North Main Street Medical Centre,"Unit 4 North Main Street Shopping Centre, North Main Street Cork, Cork City, Cork, T12 PT68",Cork,51.9003726,-8.478857
NUA Medical Practice (Newtown Medical Centre Bantry),"Bantry Primary Care, Droumleigh, Bantry, Cork, P75 VP89",Cork,51.6755548,-9.4480471
O'Connell Practice,"Strand Street, Kanturk, Cork, P51 X4HC",Cork,52.1765676,-8.9048172
Oakacre Surgery,"Ballineen And Enniskeane Primary Heath Care Centre, Derrigra, Ballineen, Cork, P47 DT21",Cork,51.7369293,-8.9436058
Old School House Surgery,"Buttevant, Cork, P51 K7PX",Cork,52.2310904,-8.6736404
Our Clinic Sanocka,"Gleann An ÓIr, Main Road, Ballincollg, Cork, P31 XR82",Cork,51.88750599999999,-8.5985774
Ovens-Ballincollig Medical Group,"Primary Care Centre, Main Street, Ballincollig, Cork, P31 XN96",Cork,51.888034,-8.5879216
Owenabue Medical Centre,"Ballea Road, Carrigaline, Cork, P43 EN26",Cork,51.8170747,-8.4025778
Padua Clinic,"Curraheen Road, Bishopstown, Cork, T12 CP5F",Cork,51.8760847,-8.5344026
Parklands Surgery,"1 Park Grove, Parklands, Cork, T23 W863",Cork,51.9198461,-8.4905584
Patrick Street Medical Centre,"9 Saint Patrick's Street, Cork City, Cork, T12 HYH0",Cork,51.8998921,-8.47038
Primary Care Centre,"Fair Green Plaza, Macroom, Cork, P12 K244",Cork,51.9055739,-8.9544006
Rahona House Surgery,"Rahona House, Hawkes Road, Bishopstown, Cork, T12 H9EV",Cork,51.8777309,-8.5238417
Ringmahon Medical Centre,"35 Dunlocha Cottages, Blackrock, Cork, T12 W6YF",Cork,51.8947105,-8.4047901
Riverstown Family Practice,"Old Court, Riverstown, Glanmire, Cork, T45 KN77",Cork,51.9285382,-8.3907975
Rockwell Medical Centre,"Charleville Primary Care Centre, Rathgoggin South, Charleville, Cork, P56 TP20",Cork,52.3487613,-8.6750306
Rosscarbery Medical Centre,"West Square, Rosscarbery, Cork, P85 P306",Cork,51.577296,-9.0331744
Rossdale Medical Centre,"Unit 3, Bandon Roundabout, Bishopstown, Cork, T12 DW74",Cork,51.8753067,-8.523920799999999
Ryecourt Clinic,"Ryecourt, Farnanes, Cork, P14 A620",Cork,51.848074,-8.7885148
Saint Mary's Primary Care Centre,"Baker's Road, Gurranebraher, Cork, T23 V09X",Cork,51.9036326,-8.4955956
Salutem Clinic,"West Village, Ballincollig, Cork, P31 RP04",Cork,51.8862524,-8.6063117
