name,address,area
Farnham Medical Practice,"Primary Care Building, Connolly St, Cavan Town, Cavan, H12 C3W6",Cavan
Killeshandra Health Centre,"Killeshandra Health Centre, Railway Road, Killeshandra, Cavan, H12 X299",Cavan
Kingscourt Surgery,"Kells Road, Kingscourt, Cavan, A82 R2V8",Cavan
Lisnalea Medical Centre,"Lisnalea, Bailieborough, Cavan, A82 PT80",Cavan
Swanlinbar Health Centre,"Creamery Road, Swanlinbar, Cavan, H14 HC58",Cavan
The Cottage Surgery,"New Road, Bailieborough, Cavan, A82 D2X0",Cavan
The Darley Health Centre,"Fairgreen, Cootehill, Cavan, H16 EN24",Cavan
Virginia Medical Practice,"Dublin Road, Virginia, Cavan, A82 AH29",Cavan
Ardlea Medical Practice,"79 Upper O'Connell Street, Ennis, Clare, V95 PD2N",Clare
Ballyvaughan Medical Centre,"Ballyvaughan Enterprise Centre, Ballyvaughan, Clare, H91 W8WH",Clare
Bridge Surgery,"The Square, Sixmilebridge, Clare, V95 W8YW",Clare
Buglers Medical Practice,"Ard Na Greine, Ennis, Clare, V95 YN9V",Clare
Burren Medical Centre,"Market Street, Corofin, Clare, V95 FAW9",Clare
Carr Medical Centre,"26 Frances Street, Kilrush, Clare, V15 RD82",Clare
Carrigaholt Health Centre,"Rinemackaderrig, Carrigaholt, Clare, V15 DA21",Clare
Collins Medical Centre,"Saint Brendan's Road, Lisdoonvarna, Clare, V95 HH6W",Clare
Doctor365 Ennis,"H.r. Medical Centre, 3 Bank Place, Ennis, Clare, V95 C2YP",Clare
Dr Maura O'Meara,"Ennis Road, Miltown Malbay, Clare, V95 WN26",Clare
Dr Paul Kiernan,"7 Westbury Shopping Centre, Westbury, Corbally, Clare, V94 E7N1",Clare
Dr Peter Flynn,"9 Killian Park, Shannon, Clare, V14 Y526",Clare
Ennis Medical Centre,"Francis Street, Ennis, Clare, V95 KC3H",Clare
Ennistymon Medical Centre,"Main Street, Ennistymon, Clare, V95 T9NE",Clare
Fergus Medical Centre,"2 Saint Anthony's Terrace, Harmony Row, Ennis, Clare, V95 WYX3",Clare
Flynn Medical Centre Shannon,"22 Tullyvarraga Hill, Tullyvarraga, Shannon, Clare, V14 W522",Clare
Kilkee Medical Centre,"Chapel Street, Kilkee, Clare, V15 DP82",Clare
Killaloe Family Practice,"2 Rygan House, Shantraud, Killaloe, Clare, V94 T0H2",Clare
Kilrush General Practice,"Merchants Quay Business Quarter, Frances Street, Kilrush, Clare, V15 XW83",Clare
Kilrush Medical Centre,"Toler Street, Kilrush, Clare, V15 K446",Clare
Lahinch Medical Centre,"4 Bay Links View, Station Road, Lahinch, Clare, V95 A56D",Clare
Medical Centre,"The Square, Kildysart, Clare, V95 R23F",Clare
Miltown Medical Centre,"Spanish Point Road, Miltown Malbay, Clare, V95 X72N",Clare
Ozondu Medical Centre,"Ballycasey Business Park, Ballycasey Park, Shannon, Clare, V14 WR50",Clare
Richmond Medical Centre,"Ennis Road, Kilmihil, Clare, V15 KF50",Clare
Riverwalk Medical Centre,"21 Parnell Street, Ennis, Clare, V95 RK3C",Clare
Roslevan Medical Practice,"Tulla Road, Roslevan, Ennis, Clare, V95 YE27",Clare
Saffron & Blue Clarecastle,"Clare Abbey Primary Health Centre, Clarecastle, Ennis, Clare, V95 HK50",Clare
Scariff Medical Centre,"Market Square, Ballyminoge, Scarriff, Clare, V94 KPN1",Clare
Shannon Medical Centre,"Unit 1, Caisleain Daire, Shannon, Clare, V14 D377",Clare
Sonas Medical Centre,"Station Road, Ennis, Clare, V95 TY4E",Clare
The Abbey Medical Centre,"Westgate Business Park, Kilrush Road, Ennis, Clare, V95 D60V",Clare
The East Clinic,"Thomas Street, Killaloe, Clare, V94 RY63",Clare
The Elm Medical Centre,"Gort Road Shopping Centre, Gort Road, Ennis, Clare, V95 F2NK",Clare
The Green Medical Centre,"Green, Newmarket-on-fergus, Clare, V95 WP04",Clare
The Medical Centre,"Ennistymon Road, Lahinch, Clare, V95 X0WX",Clare
Tulla Health Clinic,"Main Street, Tulla, Clare, V95 K6HD",Clare
Waterside Medical Centre,"The Square, Sixmilebridge, Clare, V95 HRY1",Clare
4th Practice Enhanced Medical Services,"Mallow Primary Healthcare Centre, Goulds Hill, Mallow, Cork, P51 Y8EC",Cork
Airport Dental And Medical Cork,"Rathmacullig West, Farmers Cross, Ballygarvan, Cork, T12 H5FY",Cork
Ath Transna Medical Centre,"West End, Newmarket, Cork, P51 W2PY",Cork
Avonlea Medical Centre,"Boreenmanna Road, Cork City, Cork, T12 F2DR",Cork
Avonlea Medical Centre,"Boreenmanna Road, Cork, Cork, T12 F2DR",Cork
Ballycotton Medical Centre,"Monagurra, Shanagarry, Cork, P25 PF96",Cork
Ballymodan Family Practice,"3 Ballymodan Place, Bandon, Cork, P72 RX61",Cork
Ballyvourney Health Centre,"Ballymakeera, Cork, Cork, P12 A504",Cork
Bandon Medical Clinic,"11/12 Oliver Plunkett Street, Bandon, Cork, P72 N272",Cork
Bank Place Clinic,"Bank Place, Castletownbere, Cork, P75 V275",Cork
Bank Place Clinic,"Bere Island Health Centre, Ballynakilla, Bere Island, Cork, P75 FW92",Cork
Bantry Bay Medical Centre,"The Quay, Bantry, Cork, P75 Y368",Cork
Barryscourt Medical Centre,"Midleton Road, Carrigtwohill, Cork, T45 EY17",Cork
Belvedere Surgery,"Douglas Road, Ballinlough, Cork, T12 D57T",Cork
Blackpool Bridge Surgery,"83 Thomas Davis Street, Blackpool, Cork, T23 K7Y4",Cork
Blackpool Medical Centre,"90 Great William O'Brien Street, Blackpool, Cork, T23 TR7A",Cork
Blackrock Medical Centre Cork,"74 Skehard Road, Blackrock, Cork, T12 X2DT",Cork
Blackwater Medical,"12a Millenium Park, Foxhole, Youghal, Cork, P36 KR97",Cork
Blarney Medical Centre,"Monacnappa, Blarney, Cork, T23 EAY1",Cork
Bridge Medical Practice,"Carrigaline Primary Care Centre, Kilnagleary, Carrigaline, Cork, P43 X095",Cork
Broad Lane Family Practice,"72 Great William O'brien Street, Blackpool, Cork, T23 EDX9",Cork
BrookLane Medical Centre,"Millbrook, New Road, Bandon, Cork, P72 YH72",Cork
"Cahill, O'Donnell Practice","Blackrock Hall Primary Care Centre, Blackrock Avenue, Blackrock, Cork, T12 X3FV",Cork
Cantillon/Gaughran Surgery,"Main Street, Carrigaline, Cork, P43 EV77",Cork
Carraig Mervue Family Practice,"College Road, Carrignavar, Cork, T34 RX79",Cork
Carrig Medical Centre,"Station Road, Carrigaline, Cork, P43 YN96",Cork
Carrigaline Medical Practice,"Carrig House, Old Waterpark, Carrigaline, Cork, P43 EA48",Cork
Carrigdean Medical Centre,"Togher Road, Togher, Cork, T12 AC8V",Cork
Carrigtwohill Clinic,"Carrigtwohill Shopping & Business Centre, Carrigtwohill, Cork, T45 W673",Cork
Chapel Lane Surgery,"3 Chapel Lane, Mallow, Cork, P51 NA03",Cork
Charleville Family Practice,"Rathgoggin, Charleville, Cork, P56 T863",Cork
Charleville Primary Care Centre,"Rathgoggin South, Charleville, Cork, P56 TP20",Cork
City Medical Centre,"5 Lower Friars Walk, Ballyphehane, Cork, T12 P588",Cork
City South GP,"Suite 1a Ardfallen Medical Centre, Douglas Road, Ballinlough, Cork, T12 D57T",Cork
Cityplus GP Services,"Millbrook Medical Centre, New Road, Bandon, Cork, P72 D343",Cork
Clady Medical Centre,"1 Firview, Curraheen Road, Bishopstown, Cork, T12 Y86V",Cork
Classes Lake Medical Centre,"Classes Lake Retail Park, Classes Lake, Ovens, Cork, P31 NY51",Cork
Clonakilty Family Health Clinic,"Clonakilty Shopping Centre, Faxbridge, Clonakilty, Cork, P85 W024",Cork
Clonakilty Medical Clinic,"Larkin Street, Clonakilty, Cork, P85 F958",Cork
Cloyne Medical Centre,"The Square, Cloyne, Cork, P25 TW96",Cork
Coach Horse Lane Surgery,"Coach Horse Lane, The Square, Midleton, Cork, P25 DH57",Cork
Coachford Family Practice,"The Old Surgery, Clontaebeg, Coachford, Cork, P12 FN50",Cork
Cobh Primary Care Centre,"Ticknock, Cobh, Cork, P24 V621",Cork
Cork City Medical Centre,"First Floor, 91 Saint Patrick's Street, Cork City, Cork, T12 K5FK",Cork
Cork Road Medical Clinic,"1 Cork Road, Carrigaline, Cork, P43 YW98",Cork
Crosshaven Surgery,"Point Road, Crosshaven, Cork, P43 DT66",Cork
Crotty/Wiseman Medical Centre,"Main Street, Ballincollig, Cork, P31 F384",Cork
Curraheen Clinic,"Curraheen Road, Bishopstown, Cork, T12 XY7D",Cork
Dillon's Cross Medical Centre,"Old Youghal Road, Cork City, Cork, T23 YXV4",Cork
Douglas Medical Centre,"East Douglas Street, Douglas, Cork, T12 A3PC",Cork
Dr Ailin Becker,"Main Street, Ballydehob, Cork, P81 X853",Cork
Dr Bastiaan Van Eynatten,"5 Adelaide Terrace, Wellington Road, Cork City, Cork, T23 VY84",Cork
Dr Brendan O'Regan,"4 Pearse Square, Ballyphehane, Cork, T12 W56R",Cork
Dr Buckeridge,"325 Blarney Street, Ballinlough, Cork, T23 K59H",Cork
Dr Deborah Buckley,"Market Green Shopping Centre, Midleton, Cork, P25 DY83",Cork
Dr Donncha Ó'Cuill,"6 The Orchards, Glasheen Road, Cork City, Cork, T12 K7CP",Cork
Dr Edward O'Sullivan,"La Verna, ishopstown Road, Cork City, Cork, T12 E9PE",Cork
Dr Eugene Morgan,"Ballinvarrig, Whitechurch, Cork, T34 DY79",Cork
Dr Glisson Surgery,"North Road, Castletownbere, Cork, P75 W665",Cork
Dr Greg Murphy,"Chapel Square, Passage West, Cork, T12 Y862",Cork
Dr J O'Connell,"Sackville Street, Dunmanway, Cork, P47 WN77",Cork
Dr John Dromey Surgery,"Ballyleigh, Waterfall, Cork, T12 VC43",Cork
Dr John J Burke,"Castle Street, Macroom, Cork, P12 HF44",Cork
Dr Leader Surgery,"Threadle Hill, Gneeves, Boherbue, Cork, P51 NCD6",Cork
Dr Margaret Fitzsimons,"104 Gerald Griffin Street, Blackpool, Cork, T23 AE0H",Cork
Dr Margaret Fitzsimons,"Edencurragh 1 Perrott Avenue, College Road, Cork City, Cork, T12 YF9N",Cork
Dr Mark Buckley,"Main Street, Castlemartyr, Cork, P25 KT53",Cork
Dr O'Brien,"3 Kerry Road, Mayfield, Cork, T23 H9AC",Cork
Dr O'Regan Surgery,"1 Bromley Park, Donnybrook, Cork, T12 N524",Cork
Dr Pat Kennedy and Ger McLaughlin,"Primary Care Centre, Castle Square, Carrigtwohill, Cork, T45 FX06",Cork
Dr Paul Deasy Surgery,"South Gate House, Cove Street, Cork City, Cork, T12 HN2F",Cork
Dr Rafique Youghal Clinic,"Unit A12 Millennium Park, Foxhole, Youghal, Cork, P36 KR97",Cork
Dr Thomas Moloney,"39 Wolfe Tone Street, Clonakilty, Cork, P85 X510",Cork
Drimoleague Surgery,"East End, Drimoleague, Cork, P47 HP90",Cork
Dundanion Medical Centre,"Rockfield Avenue, Church Road, Blackrock, Cork, T12 K77V",Cork
Dunmanway Primary Care Centre,"Sackville Street, Dunmanway, Cork, P47 PK51",Cork
East Cork Medical Centre,"6 New Cork Road, Midleton, Cork, P25 WV52",Cork
Eastgate Medical,"Ballincollig Health Centre, Innishmore, Ballincollig, Cork, P31 D832",Cork
Egmont Family Practice,"Newmarket Road, Kanturk, Cork, P51 EW6T",Cork
Elm wood Medical Practice,"Grange Road, Frankfield, Cork, T12 N9YR",Cork
Emmet Place Family Practice,"1 Emmet Place, Youghal, Cork, P36 VF96",Cork
Emmet Square Surgery,"12 Emmet Square, Clonakilty, Cork, P85 D212",Cork
Esculap Medical Centre,"Primary Care Centre, Main Street, Ballincollig, Cork, P31 XN96",Cork
Family First Medical Practice,"Fermoy Clinic, McCurtain Street, Fermoy, Cork, P61 KH74",Cork
Family Practice,"2 New Catherine Street, Youghal, Cork, P36 HY86",Cork
Fermoy Medical Practice,"61-63 Mccurtain Street, Fermoy, Cork, P61 KH74",Cork
Fingerpost Surgery,"The Fingerpost, Douglas, Cork, T12 EYC9",Cork
Friars Walk Medical,"24 Friars Walk, Cork City, Cork, T12 HTN3",Cork
Glanmire Medical Centre,"Crestfield Centre, Riverstown, Glanmire, Cork, T45 CX99",Cork
Glengarriff Medical Centre,"The Village, Glengarriff, Cork, P75 FK61",Cork
GP Now - Union Quay Medical centre,"Union Quay, Ballintemple, Cork, T12 K2EC",Cork
Grand Parade Medical Centre,"11-13 Grand Parade, Cork City, Cork, T12 V528",Cork
Grattan Street Health Centre,"Grattan Street, Cork City, Cork, T12 AP83",Cork
Great Island General Practice,"The Lodge, College Manor, Cobh, Cork, P24 YF90",Cork
Greenmount Surgery,"Lough Community Centre, Green Street, Greenmount, Cork, T12 VF5C",Cork
Greenwood Surgery,"Greenwood Estate, Togher, Cork, T12 E40D",Cork
Gurranabraher Medical Centre,"Saint Mary's Primary Care Centre, Baker's Road, Gurranebraher, Cork, T23 V09X",Cork
Harbour Medical Centre,"4 Church Hill, Passage West, Cork, T12 DEC5",Cork
Harbours Brink Medical Centre,"Lower Aghada, Ballynafarsid, Cork, P25 YE20",Cork
Haven Medical Centre,"Derrymihan West, Castletownbere, Cork, P75W884",Cork
Hazelwood Medical Centre,"Baltydaniel East, Mallow, Cork, P51 FF82",Cork
Herons Wood Medical Centre,"Herons Wood, Carrigaline, Cork, P43 VF30",Cork
Hollyhill Medical Centre,"Saint Mary's Health Campus, Baker's Road, Gurranebraher, Cork, T23 V09X",Cork
HR Clinic,"25 Earlwood Estate, The Lough, Togher, Cork, T12 Y9AK",Cork
Imokilly Medical Centre,"Distillery Lane, Main Street, Midleton, Cork, P25 V180",Cork
Innishannon Medical Centre,"Main Street, Innishannon, Cork, T12 FX0N",Cork
Ivyville Medical Centre,"2 Ivy Ville, Douglas Road, Cork City, Cork, T12 FK5X",Cork
John Bourke,"Scarteen Road, Newmarket, Cork, P51 PC85",Cork
Killeagh Medical,"The Old Barracks, Church View, Killeagh, Cork, P36 C780",Cork
Killeen Medical Centre,"121 Lower Friars Walk, Ballyphehane, Cork, T12 DNT2",Cork
Kilmoney Clinic,"Kilmoney Road Lower, Carrigaline, Cork, P43 VY30",Cork
Kinsale Medical Centre,"New Road, Kinsale, Cork, P17 RY11",Cork
Knight's Hill Medical Centre,"Old Youghal Road, Mayfield, Cork, T23 NDC2",Cork
Langford Hall Medical Centre,"12 Langford Row, off Infirmary Road, Ballintemple, Cork, T12 VF9F",Cork
LeeMed Clinic,"99 Shandon Street, Cork City, Cork, T23 KDH2",Cork
Link Road Medical Centre,"Link Road, Ballincollig, Cork, P31 DF84",Cork
Living Health Clinic,"Fermoy Road, Mitchelstown, Cork, P67 T263",Cork
Main Street Medical Centre,"Midleton House, Main Street, Midleton, Cork, P25 YC60",Cork
Marino Medical Centre,"Banry Primary Care Centre, Dromleigh South, Bantry, Cork, P75 VP89",Cork
Market Place Surgery,"Market Place, Kinsale, Cork, P17 HR25",Cork
Market Square Family Practice,"The Square, Buttery Court, Market Square, Mallow, Cork, P51 VA8D",Cork
Mayfield Family Practice,"Mayfield Shopping Centre, Silversprings Road, Mayfield, Cork, T23 RY7N",Cork
MD Clinic,"4 The Plaza City Square, Watercourse Road, Blackpool, Cork, T23 NDW4",Cork
MD Clinic Cork,"The Plaza City Square, Watercourse Road, Blackpool, Cork, T23 N20R",Cork
Meadow Park Surgery,"1 Meadow Park Drive, Ballyvolane, Cork, T23 DHC2",Cork
Medical Centre,"54 Lower Friars Walk, Ballyphehane, Cork, T12 YH70",Cork
MediGroup - Dr Coffey and Dr Fitzgibbon,"Cathedral Road, Gurranebraher, Cork, T23 EC2N",Cork
MediGroup - Dr McNeice and Dr Monahan,"Cathedral Road, Gurranebraher, Cork, T23 EC2N",Cork
Medina Medical Group,"Mill Road, Fermoy, Cork, P61 NN79",Cork
Midleton Medi Centre,"69 Saint Mary's Road, Midleton, Cork, P25 VK63",Cork
Midleton Medical Centre,"Suncourt Estate, Midleton, Cork, P25 EP93",Cork
Military Hill Surgery,"Military Road, Saint Lukes, Cork City, Cork, T23 X9DY",Cork
Millbrook Medical Centre,"New Road, Bandon, Cork, P72 D343",Cork
Millstreet Medical Centre,"Killarney Road, Millstreet, Cork, P51 W9XE",Cork
Mizen Medical Practice,"The Parade, Ballydehob, Cork, P81 KF97",Cork
Mizen Medical Practice,"Goleen Health Centre, Calnan Park, Goleen, Cork, P81 TN93",Cork
Mizen Primary Care Centre,"Ardmanagh Road, Schull, Cork, P81 NH42",Cork
mycorkgp.ie,"Douglas Road, Douglas, Cork, T12 XE00",Cork
New Road Surgery,"New Road, Castletownroche, Cork, P51 H79N",Cork
North Main Street Medical Centre,"Unit 4 North Main Street Shopping Centre, North Main Street Cork, Cork City, Cork, T12 PT68",Cork
NUA Medical Practice (Newtown Medical Centre Bantry),"Bantry Primary Care, Droumleigh, Bantry, Cork, P75 VP89",Cork
O'Connell Practice,"Strand Street, Kanturk, Cork, P51 X4HC",Cork
Oakacre Surgery,"Ballineen And Enniskeane Primary Heath Care Centre, Derrigra, Ballineen, Cork, P47 DT21",Cork
Old School House Surgery,"Buttevant, Cork, P51 K7PX",Cork
Our Clinic Sanocka,"Gleann An ÓIr, Main Road, Ballincollg, Cork, P31 XR82",Cork
Ovens-Ballincollig Medical Group,"Primary Care Centre, Main Street, Ballincollig, Cork, P31 XN96",Cork
Owenabue Medical Centre,"Ballea Road, Carrigaline, Cork, P43 EN26",Cork
Padua Clinic,"Curraheen Road, Bishopstown, Cork, T12 CP5F",Cork
Parklands Surgery,"1 Park Grove, Parklands, Cork, T23 W863",Cork
Patrick Street Medical Centre,"9 Saint Patrick's Street, Cork City, Cork, T12 HYH0",Cork
Primary Care Centre,"Fair Green Plaza, Macroom, Cork, P12 K244",Cork
Rahona House Surgery,"Rahona House, Hawkes Road, Bishopstown, Cork, T12 H9EV",Cork
Ringmahon Medical Centre,"35 Dunlocha Cottages, Blackrock, Cork, T12 W6YF",Cork
Riverstown Family Practice,"Old Court, Riverstown, Glanmire, Cork, T45 KN77",Cork
Rockwell Medical Centre,"Charleville Primary Care Centre, Rathgoggin South, Charleville, Cork, P56 TP20",Cork
Rosscarbery Medical Centre,"West Square, Rosscarbery, Cork, P85 P306",Cork
Rossdale Medical Centre,"Unit 3, Bandon Roundabout, Bishopstown, Cork, T12 DW74",Cork
Ryecourt Clinic,"Ryecourt, Farnanes, Cork, P14 A620",Cork
Saint Mary's Primary Care Centre,"Baker's Road, Gurranebraher, Cork, T23 V09X",Cork
Salutem Clinic,"West Village, Ballincollig, Cork, P31 RP04",Cork
Shandon Medical Centre,"51 Shandon Street, Cork City, Cork, T23 P99X",Cork
Silverdale Surgery,"Blackrock Hall Primary Care Centre, Blackrock Avenue, Blackrock, Cork, T12 X3FV",Cork
Skibbereen Medical Centre,"Market Street, Skibbereen, Cork, P81 EE08",Cork
South Douglas Road Medical Centre,"South Douglas Road, Ballinlough, Cork, T12 T2YD",Cork
South Terrace Family Practice,"Suite 6 Block B, South Terrace, Ballintemple, Cork, T12 C6TC",Cork
Special Kids Medical Clinic Ltd,"7 Chestnut Crescent, Castlelake, Carrigtwohill, Cork, T45 VW99",Cork
Sullane Family Practice,"Unit 7, Fair Green Plaza, Macroom, Cork, P12 F579",Cork
The Broadale Medical Centre,"Broadale, Maryborough Hill, Cork, T12 H5HK",Cork
The Cork Road Clinic,"Mallow Primary Healthcare Centre, Goulds Hill, Mallow, Cork, P51 K650",Cork
The Dispensery Medical Centre,"Station Road, Carrigtwohill, Cork, T45 F292",Cork
The GP Practice,"Ground Floor, Cobh Primary Care Centre, Ticknock, Cobh, Cork, P24 V621",Cork
The Grove Medical Centre,"Gleann An ÓIr, Main Road, Ballincollig, Cork, P31 XR82",Cork
The Harty Practice,"Blackrock Hall Primary Care Centre, Blackrock Avenue, Blackrock, Cork, T12 X3FV",Cork
The Harty Practice,"11 Eugene Drive, Grange, Douglas, Cork, T12 FX26",Cork
The Laurels Surgery,"The Laurels, Castlepark, Mallow, Cork, P51 TK53",Cork
The Medical Centre,"Grattan Street, Youghal, Cork, P36 TK28",Cork
The Medical Centre,"Ashdale House, Shean Lower, Blarney, Cork, T23 E06C",Cork
The Medical Centre,"Mallow Primary Healthcare Centre, Goulds Hill, Mallow, Cork, P51 Y8EC",Cork
The Muskerry Family Practice,"Railway View, Macroom, Cork, P12 HY91",Cork
The Park Clinic,"Kevin Barry Hill, Fermoy, Cork, P61 V242",Cork
The Park Family Practice,"Lower Friars Walk, Ballyphehane, Cork, T12 YTW6",Cork
The Red House Family Practice,"Mallow Primary Health Care Centre, Mallow, Cork, P51 PE00",Cork
The Rochestown Clinic,"The Square, Mount Oval Village, Rochestown, Cork, T12 YE6K",Cork
The Surgery,"Ballytrasna, Little Island, Cork, T45 N670",Cork
The Surgery,"24 Douglas West, Douglas, Cork, T12 T2WP",Cork
The Surgery,"6 Main Street, Carrigtwohill, Cork, T45 R258",Cork
The Surgery Passage West,"Passage West Surgery, Cork Street, Passage West, Cork, T12 YE1V",Cork
The Village Medical Centre,"Tullig More, Ballinhassig, Cork, T12 D521",Cork
The Village Medical Centre,"Togher Village Centre, Togher Road, Togher, Cork, T12 X0PP",Cork
The Weir Family Health Clinic,"Bandon Primary Care Centre, Market Street, Bandon, Cork, P72 WD58",Cork
Timoleague Family Health Clinic,"Abbey Street, Timoleague, Cork, P72 EW94",Cork
Tower Medical & Dental Centre,"1 Shournagh Valley, Tower, Blarney, Cork, T23 PX0H",Cork
Town Centre Medical Practice,"31/32 Fair Street East, Mallow, Cork, P51 WN62",Cork
Tullig Medical Centre,"Tullig, Millstreet, Cork, P51 H29H",Cork
Turners Cross Medical Centre,"1 Ossory Place, Evergreen Road, Turners Cross, Cork, T12 YH6P",Cork
Washington Street Medical Centre,"24 Washington Street West, Cork City, Cork, T12 K5TK",Cork
Waterfront Medical Centre,"Clarke Street, Clonakilty, Cork, P85 FW98",Cork
Well Road Surgery,"Mill Grove, Well Road, Douglas, Cork, T12 VF9C",Cork
Westbeach Surgery,"16a West Beach, Cobh, Cork, P24 XR65",Cork
Wherland's Lane Medical Centre,"Blackpool Bridge, Blackpool, Cork, T23 APR3",Cork
Wilton Medical Centre,"53 Wilton Court, Wilton, Cork, T12 HD5C",Cork
Wilton Medicentre,"Wilton Road, Glasheen, Cork, T12 PKF6",Cork
Woodbrook Family Practice,"The Old Bank House, 11 Church Street, Newmarket, Cork, P51 DK53",Cork
Woodview Family Doctors,"Sallybrook, Glanmire, Cork, T45 RR67",Cork
Adara Primary Care Centre,"Portnoo Road, Ardara, Donegal, F94 RF29",Donegal
Ark Medical Centre,"Unit 1B, Pearse Road, Letterkenny, Donegal, F92 TN92",Donegal
Arranmore Health Centre,"Ballintra, Arranmore, Donegal, F92 DX08",Donegal
Ballyraine Park Health Centre,"Ballyraine, Letterkenny, Donegal, F92 V9V0",Donegal
Ballyraine Road Surgery,"Inverarie, Ballyraine Road, Letterkenny, Donegal, F92 TYF1",Donegal
Bayview Family Practice,"Bundoran Primary Care Centre, Station Road, Bundoran, Donegal, F94 DR52",Donegal
Bayview Family Practice,"An Clochár Health Campus, College Street, Ballyshannon, Donegal, F94 TPX4",Donegal
Buncrana Medical Centre,"Maginn Avenue, Buncrana, Donegal, F93 KA02",Donegal
Burtonport Health Centre,"Burtonport, Donegal, F94 HX66",Donegal
Carndonagh Health Centre,"allyloskey Road, Carndonagh, Donegal, F93 RD74",Donegal
Carrigart Medical Practice,"Glengillagrana High, Carrigart, Letterkenny, Donegal, F92 H9RV",Donegal
Cloghan Primary Care Centre,"Cloghan Beg, Cloghan, Donegal, F93 HK29",Donegal
Derrybeg Family Practice,"Derrybeg Health Centre, Stranacorkra, Derrybeg, Donegal, F92 YF20",Donegal
Donegal Health Centre Primary Care Centre,"Waterloo Place, Donegal Town, Donegal, F94 XVA4",Donegal
Dunfanaghy Health Centre,"Pound Street, Dunfanaghy, Donegal, F92 H302",Donegal
Dungloe Medical Centre,"Gweedore Road, Dungloe, Donegal, F94 TK80",Donegal
Dunkineely Health Centre,"Main Street, Dunkineely, Donegal, F94 C92X",Donegal
Falcarragh Medical Centre,"Main Street, Falcarragh, Donegal, F92 WR9F",Donegal
General Practice,"College Street, Ballyshannon, Donegal, F94 H2AX",Donegal
Glenities Primary Care Centre,"Main Street, Glenties, Donegal, F94 FY64",Donegal
Goath Dobhair Medical Centre,"Carraig Na Trá, Magheraclogher, Bunbeg, Donegal, F92 VXY4",Donegal
Inishowen Medical,"Clonmany Health Centre, Cleagh, Clonmany, Donegal, F93 N5DV",Donegal
Inishowen Medical,"Ardaravan Square, Buncrana, Donegal, F93 E8VF",Donegal
Killybegs Family Health Centre,"Harbour View Court, Shore Road, Killybegs, Donegal, F94 Y9TV",Donegal
Killybegs Health Centre,"Saint Catherines Road, Killybegs, Donegal, F94 PK59",Donegal
